balance,housing,loan,duration,campaign,poutcome,Term Deposit,Count_Txn,age,job,marital,education,Annual_Income,Gender
2143,yes,no,261,1,unknown,0,351,58,management,married,tertiary,839368,M
29,yes,no,151,1,unknown,0,326,44,technician,single,secondary,1452858,M
2,yes,yes,76,1,unknown,0,422,33,entrepreneur,married,secondary,4851383,F
1506,yes,no,92,1,unknown,0,113,47,blue-collar,married,secondary,3207754,F
1,no,no,198,1,unknown,0,342,33,blue-collar,single,secondary,2562322,M
231,yes,no,139,1,unknown,0,490,35,management,married,tertiary,3960603,M
447,yes,yes,217,1,unknown,0,411,28,management,single,tertiary,2383284,M
2,yes,no,380,1,unknown,0,108,42,entrepreneur,divorced,tertiary,0,F
121,yes,no,50,1,unknown,0,328,58,retired,married,primary,1122246,F
593,yes,no,55,1,unknown,0,124,43,technician,single,secondary,1111232,M
270,yes,no,222,1,unknown,0,326,41,admin.,divorced,secondary,3125843,F
390,yes,no,137,1,unknown,0,470,29,admin.,single,secondary,4721864,M
6,yes,no,517,1,unknown,0,273,53,technician,married,secondary,4735377,F
71,yes,no,71,1,unknown,0,277,58,technician,married,secondary,2824333,F
162,yes,no,174,1,unknown,0,186,57,services,married,secondary,0,M
229,yes,no,353,1,unknown,0,152,51,retired,married,primary,1032353,F
13,yes,no,98,1,unknown,0,370,45,admin.,single,secondary,3715449,M
52,yes,no,38,1,unknown,0,270,57,blue-collar,married,primary,520774,F
60,yes,no,219,1,unknown,0,0,60,retired,married,primary,430248,F
0,yes,no,54,1,unknown,0,482,33,services,married,secondary,1530174,F
723,yes,yes,262,1,unknown,0,295,28,blue-collar,married,secondary,984713,M
779,yes,no,164,1,unknown,0,447,56,management,married,tertiary,4950906,M
23,yes,yes,160,1,unknown,0,423,32,blue-collar,single,primary,4132040,F
50,yes,no,342,1,unknown,0,426,25,services,married,secondary,0,M
0,yes,yes,181,1,unknown,0,383,40,retired,married,primary,3083826,M
372,yes,no,172,1,unknown,0,144,44,admin.,married,secondary,9458762,F
255,yes,no,296,1,unknown,0,261,39,management,single,tertiary,3402678,M
113,yes,yes,127,1,unknown,0,421,52,entrepreneur,married,secondary,3333256,F
246,yes,no,255,2,unknown,0,389,46,management,single,secondary,9456591,F
265,yes,yes,348,1,unknown,0,294,36,technician,single,secondary,1580345,M
839,no,yes,225,1,unknown,0,369,57,technician,married,secondary,2841686,M
378,yes,no,230,1,unknown,0,451,49,management,married,tertiary,1109590,M
39,yes,yes,208,1,unknown,0,294,60,admin.,married,secondary,1658941,F
0,yes,no,226,1,unknown,0,156,59,blue-collar,married,secondary,669919,M
3383,yes,no,336,1,unknown,0,122,51,management,married,tertiary,756060,F
63,yes,no,242,1,unknown,0,387,57,technician,divorced,secondary,338933,M
7,yes,no,365,1,unknown,0,362,25,blue-collar,married,secondary,9456339,M
3,no,no,643,1,unknown,0,223,53,technician,married,secondary,9455899,M
506,yes,no,577,1,unknown,0,460,36,admin.,divorced,secondary,4120770,F
0,yes,no,137,1,unknown,0,219,37,admin.,single,secondary,1772791,F
2586,yes,no,160,1,unknown,0,283,44,services,divorced,secondary,4306051,M
0,yes,no,180,2,unknown,0,381,50,management,married,secondary,4587759,M
104,yes,no,22,1,unknown,0,119,60,blue-collar,married,secondary,2686262,M
529,yes,no,643,1,unknown,0,353,54,retired,married,secondary,1821798,M
96,yes,no,616,1,unknown,0,365,58,retired,married,secondary,311788,F
171,yes,no,242,1,unknown,0,105,36,admin.,single,primary,9455698,M
364,yes,no,355,1,unknown,0,350,58,self-employed,married,tertiary,9455395,F
0,yes,no,225,2,unknown,0,474,44,technician,married,secondary,2815548,F
0,no,no,160,1,unknown,0,146,55,technician,divorced,secondary,4810498,M
0,yes,no,363,1,unknown,0,366,29,management,single,tertiary,2336585,F
1291,yes,no,266,1,unknown,0,391,54,blue-collar,married,secondary,1588055,M
244,yes,no,253,1,unknown,0,458,48,management,divorced,tertiary,9452458,M
0,yes,no,179,1,unknown,0,392,32,management,married,tertiary,3147711,M
76,yes,no,643,1,unknown,0,362,42,admin.,single,secondary,9452078,M
103,yes,yes,258,1,unknown,0,446,24,technician,single,secondary,8940189,F
243,no,yes,174,1,unknown,0,409,38,entrepreneur,single,tertiary,1594257,M
424,yes,no,104,1,unknown,0,275,38,management,single,tertiary,3806355,M
306,yes,no,13,1,unknown,0,343,47,blue-collar,married,secondary,1172205,M
24,yes,no,185,1,unknown,0,140,40,blue-collar,single,secondary,649595,F
179,yes,no,643,1,unknown,0,226,46,services,married,primary,2267997,M
0,yes,no,138,1,unknown,0,346,32,admin.,married,tertiary,734214,M
989,yes,no,643,1,unknown,0,165,53,technician,divorced,secondary,2524364,M
249,yes,no,164,1,unknown,0,479,57,blue-collar,married,primary,2117979,F
790,yes,no,391,1,unknown,0,257,33,services,married,secondary,3884662,F
154,yes,no,357,1,unknown,0,276,49,blue-collar,married,secondary,4884667,M
3383,yes,no,91,1,unknown,0,489,51,management,married,tertiary,405932,F
100,no,no,528,1,unknown,0,101,60,retired,married,tertiary,4249849,F
59,yes,no,273,1,unknown,0,196,59,management,divorced,tertiary,1160299,M
1205,yes,no,158,2,unknown,0,418,55,technician,married,secondary,487958,F
3383,yes,yes,177,1,unknown,0,481,35,blue-collar,single,secondary,4708688,M
3383,yes,yes,258,1,unknown,0,168,57,blue-collar,married,secondary,3426031,M
25,yes,yes,172,1,unknown,0,370,31,services,married,secondary,3697996,F
282,yes,yes,154,1,unknown,0,431,54,management,married,secondary,902705,M
23,yes,no,291,1,unknown,0,174,55,blue-collar,married,primary,3114237,M
1937,yes,no,181,1,unknown,0,473,43,technician,married,secondary,2661329,M
384,yes,no,176,1,unknown,0,324,53,technician,married,secondary,2062706,M
582,no,yes,211,1,unknown,0,393,44,blue-collar,married,secondary,3578861,M
91,no,no,349,1,unknown,0,239,55,services,divorced,secondary,2497471,M
0,yes,yes,272,1,unknown,0,126,49,services,divorced,secondary,4925497,M
1,yes,no,208,1,unknown,0,150,55,services,divorced,secondary,2661959,F
206,yes,no,193,1,unknown,0,255,45,admin.,single,secondary,3801900,M
164,no,no,212,1,unknown,0,175,47,services,divorced,secondary,4752810,F
690,yes,no,20,1,unknown,0,316,42,technician,single,secondary,1350522,M
2343,yes,no,643,1,unknown,1,141,59,admin.,blue-collar,secondary,1368654,F
137,yes,yes,246,1,unknown,0,176,46,self-employed,married,tertiary,1895636,M
173,yes,no,529,2,unknown,0,263,51,blue-collar,married,primary,4711400,M
45,no,no,643,1,unknown,1,399,56,admin.,married,secondary,3604898,M
1270,yes,no,643,1,unknown,1,468,41,technician,married,secondary,201417,F
16,yes,yes,188,2,unknown,0,340,46,management,divorced,secondary,2941476,F
486,yes,no,180,2,unknown,0,466,57,retired,married,secondary,1329682,M
50,no,no,48,1,unknown,0,258,42,management,single,secondary,4304701,F
152,yes,yes,213,2,unknown,0,434,30,technician,married,secondary,2231325,M
290,yes,no,583,1,unknown,0,356,60,admin.,married,secondary,3165738,M
54,yes,no,221,1,unknown,0,391,60,blue-collar,married,secondary,3815103,M
37,no,no,173,1,unknown,0,180,57,entrepreneur,divorced,secondary,8939107,F
101,yes,yes,426,1,unknown,0,146,36,management,married,tertiary,3519095,F
