,balance,housing,loan,duration,campaign,poutcome,Term Deposit,Count_Txn,age,job,marital,education,Annual_Income,Gender
0,2143,yes,no,261,1,unknown,0,351,58,management,married,tertiary,839368,M
1,29,yes,no,151,1,unknown,0,326,44,technician,single,secondary,1452858,M
2,2,yes,yes,76,1,unknown,0,422,33,entrepreneur,married,secondary,4851383,F
3,1506,yes,no,92,1,unknown,0,113,47,blue-collar,married,secondary,3207754,F
4,1,no,no,198,1,unknown,0,342,33,blue-collar,single,secondary,2562322,M
5,231,yes,no,139,1,unknown,0,490,35,management,married,tertiary,3960603,M
6,447,yes,yes,217,1,unknown,0,411,28,management,single,tertiary,2383284,M
7,2,yes,no,380,1,unknown,0,108,42,entrepreneur,divorced,tertiary,0,F
8,121,yes,no,50,1,unknown,0,328,58,retired,married,primary,1122246,F
9,593,yes,no,55,1,unknown,0,124,43,technician,single,secondary,1111232,M
10,270,yes,no,222,1,unknown,0,326,41,admin.,divorced,secondary,3125843,F
11,390,yes,no,137,1,unknown,0,470,29,admin.,single,secondary,4721864,M
12,6,yes,no,517,1,unknown,0,273,53,technician,married,secondary,4735377,F
13,71,yes,no,71,1,unknown,0,277,58,technician,married,secondary,2824333,F
14,162,yes,no,174,1,unknown,0,186,57,services,married,secondary,0,M
15,229,yes,no,353,1,unknown,0,152,51,retired,married,primary,1032353,F
16,13,yes,no,98,1,unknown,0,370,45,admin.,single,secondary,3715449,M
17,52,yes,no,38,1,unknown,0,270,57,blue-collar,married,primary,520774,F
18,60,yes,no,219,1,unknown,0,0,60,retired,married,primary,430248,F
19,0,yes,no,54,1,unknown,0,482,33,services,married,secondary,1530174,F
20,723,yes,yes,262,1,unknown,0,295,28,blue-collar,married,secondary,984713,M
21,779,yes,no,164,1,unknown,0,447,56,management,married,tertiary,4950906,M
22,23,yes,yes,160,1,unknown,0,423,32,blue-collar,single,primary,4132040,F
23,50,yes,no,342,1,unknown,0,426,25,services,married,secondary,0,M
24,0,yes,yes,181,1,unknown,0,383,40,retired,married,primary,3083826,M
25,372,yes,no,172,1,unknown,0,144,44,admin.,married,secondary,9458762,F
26,255,yes,no,296,1,unknown,0,261,39,management,single,tertiary,3402678,M
27,113,yes,yes,127,1,unknown,0,421,52,entrepreneur,married,secondary,3333256,F
28,246,yes,no,255,2,unknown,0,389,46,management,single,secondary,9456591,F
29,265,yes,yes,348,1,unknown,0,294,36,technician,single,secondary,1580345,M
30,839,no,yes,225,1,unknown,0,369,57,technician,married,secondary,2841686,M
31,378,yes,no,230,1,unknown,0,451,49,management,married,tertiary,1109590,M
32,39,yes,yes,208,1,unknown,0,294,60,admin.,married,secondary,1658941,F
33,0,yes,no,226,1,unknown,0,156,59,blue-collar,married,secondary,669919,M
34,3383,yes,no,336,1,unknown,0,122,51,management,married,tertiary,756060,F
35,63,yes,no,242,1,unknown,0,387,57,technician,divorced,secondary,338933,M
36,7,yes,no,365,1,unknown,0,362,25,blue-collar,married,secondary,9456339,M
37,3,no,no,643,1,unknown,0,223,53,technician,married,secondary,9455899,M
38,506,yes,no,577,1,unknown,0,460,36,admin.,divorced,secondary,4120770,F
