balance,housing,loan,duration,campaign,poutcome,Term Deposit,Count_Txn,age,job,marital,education,Annual_Income,Gender
54,yes,no,252,2,unknown,0,126,27,admin.,single,secondary,4776205,M
501,yes,no,546,12,unknown,0,489,34,technician,divorced,tertiary,1516790,M
127,no,no,94,2,unknown,0,368,35,technician,divorced,secondary,1576408,F
2054,yes,no,447,1,unknown,0,182,35,blue-collar,married,secondary,981611,F
115,no,no,78,2,unknown,0,182,37,management,married,tertiary,4784518,M
3383,yes,no,277,1,unknown,0,333,36,management,married,primary,3560607,F
3160,yes,no,445,2,failure,1,296,35,technician,married,tertiary,439748,M
3383,no,no,115,1,unknown,1,329,53,technician,married,secondary,2390531,M
3383,no,no,643,2,failure,1,426,37,technician,single,tertiary,3004773,M
3383,yes,no,149,4,unknown,0,286,44,entrepreneur,married,secondary,1287368,M
774,yes,no,140,1,unknown,0,332,36,services,single,secondary,4090848,M
1937,yes,no,86,1,unknown,0,290,40,services,divorced,primary,2550795,M
0,no,no,313,3,unknown,0,432,43,technician,married,secondary,3670958,M
416,yes,no,55,2,unknown,0,111,40,management,married,tertiary,2250180,M
228,yes,no,105,1,unknown,0,231,38,entrepreneur,married,tertiary,393082,M
2893,no,no,207,2,unknown,0,398,57,services,married,primary,3685340,F
863,yes,no,622,3,unknown,1,297,33,blue-collar,single,primary,684809,F
0,yes,no,305,3,unknown,0,313,33,blue-collar,married,secondary,4606352,F
1811,yes,no,150,1,unknown,0,281,42,admin.,divorced,secondary,1473367,F
3371,no,no,269,2,unknown,1,147,49,management,married,primary,2887057,M
210,yes,no,154,1,unknown,0,455,52,blue-collar,single,primary,2906037,M
0,yes,no,54,4,unknown,0,168,36,blue-collar,married,secondary,4332869,M
277,yes,no,76,2,unknown,0,294,34,blue-collar,married,primary,1552660,M
702,no,no,163,2,unknown,0,473,25,management,single,tertiary,3783277,M
483,yes,no,282,1,unknown,0,481,39,blue-collar,married,secondary,2609659,M
1234,no,no,64,4,unknown,0,239,39,management,single,tertiary,3916421,M
252,yes,no,643,3,failure,0,455,29,admin.,married,secondary,3037105,M
565,yes,no,643,1,unknown,1,464,35,management,single,tertiary,4195050,F
23,yes,no,287,2,unknown,0,378,59,management,divorced,tertiary,891043,F
2065,no,no,161,2,unknown,0,126,50,blue-collar,married,secondary,4051467,F
324,yes,no,229,2,unknown,0,122,58,retired,married,secondary,918608,F
12,yes,no,54,26,unknown,0,468,40,blue-collar,married,primary,1993347,M
558,no,no,433,6,unknown,0,302,48,blue-collar,married,secondary,4231987,M
360,yes,no,395,1,unknown,0,416,31,blue-collar,married,secondary,4507326,F
19,no,no,372,1,unknown,0,335,30,admin.,single,secondary,2598788,F
2343,yes,no,643,1,unknown,1,141,59,admin.,blue-collar,secondary,1368654,F
304,no,no,237,1,unknown,1,115,35,admin.,married,secondary,1428538,M
101,yes,no,460,5,unknown,1,359,45,blue-collar,married,primary,4141434,M
451,yes,yes,247,1,unknown,0,423,35,technician,married,secondary,4508264,F
1303,no,no,274,2,unknown,0,473,50,technician,divorced,secondary,4045558,M
1015,no,yes,100,3,unknown,0,193,48,admin.,married,tertiary,3479934,F
273,no,no,354,1,unknown,0,441,42,housemaid,divorced,primary,3730579,M
357,no,no,94,4,unknown,0,344,42,self-employed,married,secondary,1024369,F
806,yes,no,643,21,unknown,0,246,27,technician,married,secondary,4724254,M
444,no,no,54,2,unknown,0,250,29,entrepreneur,divorced,tertiary,4148953,F
2120,no,no,643,4,unknown,1,157,57,admin.,married,secondary,3293448,M
0,no,no,643,4,unknown,1,235,45,technician,single,tertiary,3363586,M
3,yes,no,190,2,unknown,0,443,28,technician,single,secondary,4273582,F
654,yes,yes,62,2,unknown,0,209,56,technician,married,secondary,3758187,F
1849,yes,no,111,1,unknown,0,389,35,unemployed,married,tertiary,435728,F
779,yes,yes,643,1,unknown,1,444,52,retired,divorced,primary,1160868,F
3383,yes,no,33,1,unknown,0,125,49,services,married,primary,1747295,F
234,yes,no,24,7,unknown,0,447,32,technician,single,secondary,460283,M
187,yes,no,82,2,unknown,0,243,45,retired,divorced,secondary,229473,F
0,yes,yes,85,2,unknown,0,298,32,admin.,married,tertiary,863410,F
2850,no,no,300,1,failure,1,361,73,retired,married,secondary,256313,M
342,yes,no,643,1,unknown,0,361,38,admin.,married,tertiary,2251138,F
556,yes,no,305,1,unknown,0,248,50,admin.,divorced,secondary,3709620,M
680,yes,no,144,2,unknown,0,190,38,entrepreneur,married,secondary,311685,M
171,yes,yes,153,1,failure,0,200,39,blue-collar,married,secondary,2395979,M
1183,no,no,643,5,unknown,1,204,58,unemployed,married,primary,2575460,M
1348,no,no,124,1,unknown,0,118,48,management,married,tertiary,2696459,M
1583,yes,no,84,7,unknown,0,338,45,blue-collar,married,secondary,525678,F
1311,yes,no,643,1,unknown,1,101,49,management,married,tertiary,4672441,M
3383,no,yes,178,1,unknown,0,124,57,entrepreneur,married,tertiary,1782239,F
0,yes,no,487,5,unknown,0,380,25,technician,single,secondary,732982,M
3139,no,no,182,5,unknown,0,105,36,management,single,tertiary,3217298,F
974,yes,no,197,2,unknown,0,224,53,blue-collar,married,secondary,4919641,F
2519,no,no,470,1,unknown,0,351,45,admin.,divorced,secondary,975534,F
82,no,no,215,1,unknown,0,326,56,housemaid,married,primary,4960003,M
784,yes,no,41,3,unknown,0,122,37,management,married,tertiary,1372549,M
629,no,no,165,2,unknown,0,437,45,self-employed,married,secondary,4212297,M
508,yes,no,282,1,unknown,0,182,34,entrepreneur,married,tertiary,1396158,F
46,no,yes,80,1,failure,0,259,46,management,single,tertiary,331812,F
281,no,no,60,2,other,0,232,36,admin.,divorced,tertiary,3942795,M
0,no,no,176,1,unknown,0,345,34,management,married,tertiary,1458141,M
0,no,no,235,2,unknown,0,168,43,services,married,secondary,1926902,M
5,yes,no,30,12,unknown,0,140,38,blue-collar,single,primary,4429280,M
0,yes,no,83,3,failure,0,122,24,blue-collar,married,secondary,3057871,F
0,yes,no,51,9,unknown,0,278,46,blue-collar,married,primary,1917094,M
3383,no,no,262,1,other,0,472,37,management,married,tertiary,1322773,M
95,yes,no,255,1,unknown,0,156,29,technician,married,primary,2239776,F
1411,yes,no,625,2,unknown,0,277,39,blue-collar,married,primary,4503245,M
488,yes,no,207,1,failure,0,439,53,self-employed,married,secondary,998832,M
3383,no,no,226,5,unknown,0,161,33,management,single,tertiary,3273937,M
1128,no,no,65,2,unknown,0,496,47,management,married,secondary,560996,M
356,yes,yes,643,4,other,0,391,36,blue-collar,married,primary,3253245,M
308,yes,no,147,2,unknown,0,375,33,blue-collar,married,secondary,3770415,F
215,yes,yes,14,4,unknown,0,197,45,admin.,married,secondary,3884434,M
921,no,no,531,3,unknown,1,426,42,technician,married,tertiary,2414032,M
166,no,no,99,1,unknown,0,150,74,retired,divorced,primary,871753,M
81,no,yes,186,1,unknown,0,327,40,services,divorced,secondary,2494713,F
260,yes,no,237,1,unknown,0,164,50,blue-collar,married,primary,2926755,M
192,no,no,120,6,unknown,0,305,47,self-employed,married,tertiary,4895994,M
28,yes,no,237,2,unknown,0,132,33,management,single,tertiary,559173,M
14,no,no,292,3,unknown,0,171,45,technician,divorced,secondary,2834224,F
116,no,no,145,2,unknown,0,419,34,technician,married,tertiary,2404926,M
556,yes,no,22,1,unknown,0,113,48,blue-collar,married,primary,3818607,M
515,yes,no,115,2,failure,0,332,54,retired,single,secondary,3675781,M
567,yes,no,234,3,unknown,0,393,45,services,married,secondary,3992988,M
1547,yes,no,401,4,unknown,0,189,46,technician,divorced,secondary,2575880,M
714,yes,no,199,1,unknown,0,341,30,blue-collar,married,primary,2208844,F
321,no,yes,254,2,unknown,0,395,58,management,divorced,secondary,4425069,M
0,no,no,623,1,unknown,0,152,29,blue-collar,single,secondary,2796344,M
1680,yes,no,643,1,unknown,0,361,42,management,married,tertiary,366229,M
440,yes,no,13,5,unknown,0,233,42,technician,married,secondary,3467750,F
3383,no,no,643,1,unknown,0,307,41,management,married,secondary,1236289,M
810,no,no,91,1,success,1,126,50,management,divorced,tertiary,1634888,M
656,yes,no,268,2,unknown,0,178,51,management,married,tertiary,1793836,F
235,yes,no,58,4,unknown,0,426,48,blue-collar,married,primary,2777903,M
726,no,no,103,1,unknown,0,182,30,admin.,single,tertiary,4407534,M
512,yes,yes,220,2,unknown,0,137,47,technician,married,tertiary,4130628,M
0,yes,no,211,2,unknown,0,208,38,management,married,tertiary,4093666,M
3383,yes,yes,410,5,unknown,0,128,53,retired,married,secondary,4650172,M
506,yes,no,446,2,failure,0,406,37,admin.,divorced,secondary,3718292,F
52,no,yes,185,1,unknown,0,134,27,blue-collar,married,primary,4613483,M
972,no,no,297,4,unknown,0,444,32,management,married,tertiary,4633959,M
515,yes,yes,19,6,unknown,0,340,32,management,single,secondary,1372010,M
617,no,yes,643,1,unknown,1,210,30,self-employed,single,secondary,1640409,F
96,yes,no,202,1,unknown,0,354,45,management,married,tertiary,2542984,M
258,yes,no,18,2,unknown,0,476,30,blue-collar,divorced,primary,257079,F
2058,yes,no,23,2,unknown,0,313,57,blue-collar,married,secondary,811077,M
2460,no,no,477,1,unknown,0,420,31,technician,single,secondary,1619118,M
225,yes,no,23,1,unknown,0,322,32,blue-collar,married,primary,2299848,F
382,no,no,409,4,unknown,1,448,29,technician,single,secondary,1674591,M
595,no,no,188,2,unknown,0,293,57,management,married,primary,4020893,M
2409,yes,no,272,4,failure,0,440,49,services,married,secondary,1981370,M
0,yes,no,309,2,unknown,0,116,37,blue-collar,single,primary,871497,F
2220,yes,no,89,1,failure,0,197,45,management,married,tertiary,528882,M
763,no,no,389,2,unknown,0,209,54,retired,married,secondary,2937333,F
431,yes,no,29,6,other,0,151,28,unemployed,married,secondary,3190865,M
368,yes,no,174,7,unknown,0,310,28,blue-collar,married,secondary,2375136,M
665,yes,no,271,2,failure,0,351,48,services,married,secondary,4528361,M
734,no,yes,124,1,unknown,0,284,54,blue-collar,married,secondary,1509702,F
